latitude,longitude,hour_of_day,is_weekend,street_lit,commercial_density,recent_incidents_count,target_risk_score
26.1900213,91.7747082,14,0,1,0.59,3,0.68
26.1938959,91.8037346,10,0,0,0.31,1,2.93
26.1208857,91.7131997,20,0,1,0.81,0,0.46
26.1837835,91.7505772,20,1,1,0.71,0,0.81
26.1283493,91.7196194,6,1,1,0.43,2,2.02
26.1714918,91.7615016,14,0,1,0.22,3,0.67
26.1748268,91.7415127,23,0,0,0.4,2,8.04
26.1837903,91.7782767,16,0,1,0.64,5,0.54
26.125752,91.6728259,13,0,0,0.69,0,3.59
26.1904908,91.8011619,7,0,0,0.11,5,3.01
26.122952,91.6857662,17,0,1,0.89,2,0.9
26.1368964,91.7010171,15,0,1,0.59,3,1.52
26.1822814,91.781621,14,0,1,0.79,4,1.02
26.1463951,91.6791217,13,0,0,0.66,3,2.52
26.1887836,91.7548076,6,0,0,0.64,2,3.23
26.1576018,91.6917951,21,1,1,0.14,3,2.25
26.1799876,91.7481458,1,0,1,0.35,3,4.21
26.1692909,91.7545446,2,0,1,0.51,4,5.77
26.1495627,91.726902,5,0,0,0.35,1,3.02
26.1522456,91.6777435,17,0,1,0.6,4,0.0
26.1920946,91.8092305,14,0,1,0.67,1,0.99
26.1903367,91.7812554,17,1,1,0.59,2,0.51
26.178216,91.7617136,19,1,1,0.1,5,1.52
26.1636577,91.736472,1,1,1,0.21,5,5.98
26.1728667,91.7630309,5,0,1,0.3,2,1.79
26.1689364,91.7200335,6,1,1,0.7,3,2.78
26.1642488,91.7383347,17,0,1,0.56,2,1.17
26.1897055,91.7563851,6,0,1,0.88,0,2.07
26.1902219,91.7496143,20,1,1,0.78,4,1.11
26.1720947,91.7581236,23,0,0,0.19,3,7.73
26.1800489,91.7448205,22,0,0,0.68,1,8.36
26.1906712,91.7764436,13,1,1,0.66,3,0.66
26.1316841,91.6996054,19,0,1,0.53,2,0.72
26.1727767,91.7397621,2,0,1,0.7,0,4.97
26.1492671,91.6850398,18,0,1,0.26,0,1.52
26.189694,91.7787181,15,1,1,0.33,1,0.7
26.159621,91.72016,8,0,1,0.28,2,0.93
26.1865384,91.763405,4,0,0,0.68,0,9.24
26.1659212,91.6807063,8,1,1,0.42,2,1.52
26.1678128,91.7463607,15,1,0,0.77,1,2.44
26.1835187,91.7751637,13,1,1,0.55,0,0.62
26.1603153,91.7399598,8,0,1,0.16,1,1.18
26.1608206,91.6612238,23,0,0,0.14,1,9.29
26.1536787,91.7036184,2,1,0,0.5,3,9.93
